Province,Confirmed,Day
Guangdong,26,22-Jan
Zhejiang,10,22-Jan
Henan,5,22-Jan
Hunan,4,22-Jan
Guangdong,6,23-Jan
Zhejiang,17,23-Jan
Henan,0,23-Jan
Hunan,5,23-Jan
Guangdong,21,24-Jan
Zhejiang,16,24-Jan
Henan,4,24-Jan
Hunan,15,24-Jan
Guangdong,25,25-Jan
Zhejiang,19,25-Jan
Henan,23,25-Jan
Hunan,19,25-Jan
Guangdong,33,26-Jan
Zhejiang,42,26-Jan
Henan,51,26-Jan
Hunan,26,26-Jan
Guangdong,40,27-Jan
Zhejiang,24,27-Jan
Henan,45,27-Jan
Hunan,31,27-Jan
Guangdong,56,28-Jan
Zhejiang,45,28-Jan
Henan,40,28-Jan
Hunan,43,28-Jan
Guangdong,70,29-Jan
Zhejiang,123,29-Jan
Henan,38,29-Jan
Hunan,78,29-Jan
Guangdong,151,30-Jan
Zhejiang,58,30-Jan
Henan,72,30-Jan
Hunan,56,30-Jan
Guangdong,8,31-Jan
Zhejiang,184,31-Jan
Henan,74,31-Jan
Hunan,55,31-Jan
Guangdong,99,1-Feb
Zhejiang,61,1-Feb
Henan,70,1-Feb
Hunan,57,1-Feb
Guangdong,97,2-Feb
Zhejiang,62,2-Feb
Henan,71,2-Feb
Hunan,74,2-Feb
Guangdong,93,3-Feb
Zhejiang,63,3-Feb
Henan,73,3-Feb
Hunan,58,3-Feb
Guangdong,88,4-Feb
Zhejiang,105,4-Feb
Henan,109,4-Feb
Hunan,72,4-Feb
Guangdong,82,5-Feb
Zhejiang,66,5-Feb
Henan,89,5-Feb
Hunan,68,5-Feb
Guangdong,75,6-Feb
Zhejiang,59,6-Feb
Henan,87,6-Feb
Hunan,50,6-Feb
Guangdong,64,7-Feb
Zhejiang,52,7-Feb
Henan,63,7-Feb
Hunan,61,7-Feb
Guangdong,61,8-Feb
Zhejiang,42,8-Feb
Henan,67,8-Feb
Hunan,31,8-Feb
Guangdong,36,9-Feb
Zhejiang,27,9-Feb
Henan,52,9-Feb
Hunan,35,9-Feb
Guangdong,28,10-Feb
Zhejiang,17,10-Feb
Henan,40,10-Feb
Hunan,41,10-Feb
Guangdong,42,11-Feb
Zhejiang,25,11-Feb
Henan,32,11-Feb
Hunan,33,11-Feb
Guangdong,102,12-Feb
Zhejiang,14,12-Feb
Henan,30,12-Feb
Hunan,34,12-Feb
Guangdong,22,13-Feb
Zhejiang,11,13-Feb
Henan,34,13-Feb
Hunan,22,13-Feb
Guangdong,20,14-Feb
Zhejiang,10,14-Feb
Henan,39,14-Feb
Hunan,20,14-Feb
Guangdong,33,15-Feb
Zhejiang,7,15-Feb
Henan,28,15-Feb
Hunan,13,15-Feb
Guangdong,22,16-Feb
Zhejiang,5,16-Feb
Henan,19,16-Feb
Hunan,3,16-Feb
Guangdong,6,17-Feb
Zhejiang,4,17-Feb
Henan,15,17-Feb
Hunan,2,17-Feb
Guangdong,6,18-Feb
Zhejiang,1,18-Feb
Henan,11,18-Feb
Hunan,1,18-Feb
Guangdong,3,19-Feb
Zhejiang,2,19-Feb
Henan,5,19-Feb
Hunan,1,19-Feb
Guangdong,1,20-Feb
Zhejiang,1,20-Feb
